original_title,image_url,price
Harry Potter and the Half-Blood Prince,https://images.gr-assets.com/books/1361039191m/1.jpg,23
Harry Potter and the Order of the Phoenix,https://images.gr-assets.com/books/1507396732m/2.jpg,13
Harry Potter and the Philosopher's Stone,https://images.gr-assets.com/books/1474154022m/3.jpg,23
Harry Potter and the Prisoner of Azkaban,https://images.gr-assets.com/books/1499277281m/5.jpg,18
Harry Potter and the Goblet of Fire,https://images.gr-assets.com/books/1361482611m/6.jpg,43
Harry Potter and the Chamber of Secrets,https://images.gr-assets.com/books/1474169725m/15881.jpg,22
Harry Potter and the Deathly Hallows,https://images.gr-assets.com/books/1474171184m/136251.jpg,47
Labyrinth,https://images.gr-assets.com/books/1312498906m/14975.jpg,36
A Game of Thrones,https://images.gr-assets.com/books/1436732693m/13496.jpg,16
The Book Thief,https://images.gr-assets.com/books/1390053681m/19063.jpg,26
The Two Towers,https://images.gr-assets.com/books/1298415523m/15241.jpg,48
The Return of the King,https://images.gr-assets.com/books/1389977161m/18512.jpg,48
There's Someone Inside Your House,https://images.gr-assets.com/books/1493650191m/15797848.jpg,32
A Game of Thrones - The Graphic Novel Volume 1,https://images.gr-assets.com/books/1369052110m/12962439.jpg,22
Incarceron,https://images.gr-assets.com/books/1327414514m/332775.jpg,37
The Turn of the Screw,https://images.gr-assets.com/books/1443203592m/12948.jpg,28
The Green Mile,https://images.gr-assets.com/books/1373903563m/11566.jpg,45
The Name of the Wind,https://images.gr-assets.com/books/1472068073m/186074.jpg,36
Strange the Dreamer,https://images.gr-assets.com/books/1491249148m/28449207.jpg,38
Shogun,https://images.gr-assets.com/books/1397228842m/402093.jpg,20
A Storm of Swords,https://images.gr-assets.com/books/1497931121m/62291.jpg,40
The Crime at Black Dudley,https://images.gr-assets.com/books/1295942827m/76633.jpg,39
Mistborn : The Final Empire,https://images.gr-assets.com/books/1480717416m/68428.jpg,26
The Scarlet Letter,https://images.gr-assets.com/books/1404810944m/12296.jpg,22
