antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"A Court of Thorns and Roses,A Court of Wings and Ruin",A Court of Mist and Fury,0.027701543739279588,0.10042881646655231,0.02307032590051458,0.8328173374613003,8.292613283346508,1.0,0.0202882926484823,5.380768375579695,0.9044658523445127,0.21959183673469387,0.8141529368670761,0.5312677635214272
"The Raven Boys,Blue Lily, Lily Blue",The Dream Thieves,0.03747855917667239,0.06638078902229845,0.029502572898799314,0.7871853546910754,11.85863208746504,1.0,0.027014716569232898,4.387006399970488,0.9513276307582643,0.39677047289504047,0.7720541278429119,0.6158148995677599
"Winter,Scarlet",Cress,0.04288164665523156,0.0951114922813036,0.03361921097770154,0.784,8.242957619477007,1.0,0.029540673572842895,4.189298646845818,0.9180518981786262,0.32210353327855384,0.7612965595678135,0.5687357980162309
"Scarlet, Winter",Cress,0.0422235464373882,0.092704520303056,0.0330297097131182,0.782258064516129,8.438186853876005,1.0,0.0291153960951463,4.166838499348927,0.9203516388463064,0.3241436925647452,0.7600098971543411,0.5692741194940608
"The Raven Boys,The Raven King",The Dream Thieves,0.02993138936535163,0.06638078902229845,0.023327615780445968,0.7793696275071632,11.740891287769411,1.0,0.021340746537840294,4.231598761444385,0.9430545226666389,0.3196239717978849,0.7636826985792323,0.565395408068827
"The Dream Thieves,The Raven King","Blue Lily, Lily Blue",0.030703259005145797,0.05849056603773585,0.023670668953687822,0.7709497206703911,13.180753288880881,1.0,0.021874817955273632,4.110492406810862,0.953404425021607,0.36125654450261785,0.7567201441990127,0.587820901390914
"Heir of Fire,Throne of Glass",Crown of Midnight,0.037821612349914234,0.09082332761578045,0.028987993138936536,0.7664399092970522,8.438800134469904,1.0,0.025552908449523227,3.89268847108195,0.9161500117879062,0.2908777969018933,0.7431081353083321,0.5428044683406885
"The Dream Thieves,The Raven King",The Raven Boys,0.030703259005145797,0.09348198970840481,0.023327615780445968,0.7597765363128491,8.127517810465891,1.0,0.02045741403811244,3.773644740516175,0.9047396608616902,0.2312925170068027,0.735004201836123,0.5046589103582594
"Queen of Shadows,Crown of Midnight",Heir of Fire,0.033876500857632934,0.07401372212692968,0.025643224699828472,0.7569620253164556,10.227320063951185,1.0,0.02313589877871893,3.8100477058319027,0.9338585342174758,0.3117831074035453,0.7375360947661269,0.5517139211170923
"Blue Lily, Lily Blue,The Raven King",The Dream Thieves,0.03156089193825043,0.06638078902229845,0.023670668953687822,0.75,11.298449612403102,1.0,0.02157563204457926,3.734476843910806,0.9411973078285513,0.3187066974595843,0.7322248759875069,0.5532945736434108
"The Raven Boys,The Raven King","Blue Lily, Lily Blue",0.02993138936535163,0.05849056603773585,0.022298456260720412,0.7449856733524355,12.736851834735187,1.0,0.02054775235444513,3.691986432054271,0.9499200914018349,0.33722438391699094,0.7291430999534886,0.5631086724533438
"Queen of Shadows,Throne of Glass",Crown of Midnight,0.029245283018867925,0.09082332761578045,0.021783876500857634,0.7448680351906158,8.201285448840963,1.0,0.019127722580018772,3.5635545434829754,0.9045208634634958,0.22164048865619546,0.7193813121707934,0.4923584746302465
"Mockingjay,The Hunger Games",Catching Fire,0.0330188679245283,0.07135506003430532,0.02444253859348199,0.7402597402597403,10.374313186813186,1.0,0.022086475290462475,3.5752830188679248,0.9344629867351305,0.305793991416309,0.7203018628951396,0.5414039085914086
"The Dream Thieves,Blue Lily, Lily Blue",The Raven Boys,0.04013722126929674,0.09348198970840481,0.029502572898799314,0.7350427350427351,7.8629342115580645,1.0,0.02575046559317895,3.421374425939247,0.9093185331715345,0.2833607907742998,0.7077198004350322,0.5253195326589822
